t,b
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/1980_NCAA_Division_I_Men's_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/name
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2003/01/geo/wgs84_poslat
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2003/01/geo/wgs84_poslong
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://xmlns.com/foaf/0.1/depiction
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://xmlns.com/foaf/0.1/isPrimaryTopicOf
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/2003/01/geo/wgs84_posgeometry
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/ontology/thumbnail
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.w3.org/ns/provwasDerivedFrom
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/ontology/abstract
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/hostCity
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://www.georss.org/georss/point
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/date
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/edition
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/location
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/logo
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/next
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/previous
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/races
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/website
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/distances
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/athletesParticipating
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/nationsParticipating
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://dbpedia.org/property/organisers
http://dbpedia.org/resource/2009_European_Cross_Country_Championships,http://purl.org/linguistics/gold/hypernym
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemalabel
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://www.w3.org/2000/01/rdf-schemacomment
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://www.w3.org/2002/07/owlsameAs
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://purl.org/dc/terms/subject
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageID
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageRevisionID
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://dbpedia.org/ontology/wikiPageExternalLink
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/2010_European_Cross_Country_Championships,http://dbpedia.org/property/name
